学籍番号,身長(cm),体重(kg)
161111,172,59
161112,166,58
161113,164,65
161114,175,73
161115,149,41
161116,144,48
161117,161,63
161118,159,56
161119,172,63
161120,167,57
161121,166,52
161122,187,80
161123,179,65
161124,177,68
161125,198,75
161126,152,72
161127,169,69
161128,159,75
161129,164,60
161130,163,62
161131,178,63
161132,143,61
161133,173,78
161134,145,52
161135,153,47
161136,164,72
161137,177,59
161138,164,66
161139,166,57
161140,175,65
161141,166,55
161142,153,55
161143,165,52
161144,152,51
161145,156,53
161146,189,87
161147,147,41
161148,163,51
161149,159,54
161150,150,50
161151,157,43
161152,145,33
161153,176,82
161154,179,74
161155,161,54
161156,190,82
161157,171,66
161158,155,55
161159,163,40
161160,180,75
